ENSEMBLE	Chrom	Start	End	Strand	Type	SYMBOL
ENSMUSG00000019990.15	chr10	20398004	20725078	-	protein_coding	Pde7b
ENSMUSG00000023176.9	chr16	30256378	30267499	-	protein_coding	Cpn2
ENSMUSG00000022991.5	chr15	98480400	98482721	-	protein_coding	Lalba
ENSMUSG00000113669.1	chr12	25303940	25471979	+	lincRNA	Gm36723
ENSMUSG00000030834.7	chr7	45967555	46030302	-	protein_coding	Abcc6
ENSMUSG00000102547.1	chrY	26138802	26142144	+	lincRNA	Gm38136
ENSMUSG00000060284.7	chr15	102356606	102367182	-	protein_coding	Sp7
ENSMUSG00000108038.1	chr6	117160773	117162808	+	lincRNA	D030044L04Rik
ENSMUSG00000000743.9	chr8	123204264	123212763	-	protein_coding	Chmp1a
ENSMUSG00000046242.8	chr9	99451475	99474751	+	protein_coding	Nme9
ENSMUSG00000074664.3	chr3	26331150	26333377	+	antisense	A830092H15Rik
ENSMUSG00000096729.1	chr2	83967313	83969805	+	protein_coding	Gm13695
ENSMUSG00000031910.14	chr8	106870242	106884566	+	protein_coding	Has3
ENSMUSG00000075023.11	chr2	93855361	93869157	-	protein_coding	Accsl
ENSMUSG00000033596.5	chr8	111270944	111300222	-	protein_coding	Rfwd3
ENSMUSG00000094383.1	JH584299.1	90482	93220	+	protein_coding	AC123873.1
ENSMUSG00000094105.7	chr5	11681959	11686856	+	protein_coding	Gm8922
ENSMUSG00000034039.8	chr17	25318654	25322684	+	protein_coding	Prss29
ENSMUSG00000020974.6	chr12	69201773	69228195	-	protein_coding	Pole2
ENSMUSG00000038524.13	chr18	37957431	37969774	-	protein_coding	Fchsd1
ENSMUSG00000101332.1	chr1	56531824	56533876	+	lincRNA	Gm28240
ENSMUSG00000031848.15	chr8	70673248	70678752	+	protein_coding	Lsm4
ENSMUSG00000031748.16	chr8	93809966	93969388	+	protein_coding	Gnao1
ENSMUSG00000021414.8	chr13	34909960	34924310	-	protein_coding	Fam217a
ENSMUSG00000113390.1	chr12	106094823	106098971	-	lincRNA	Gm32635
ENSMUSG00000073955.2	chr7	103211862	103212845	+	protein_coding	Olfr593
ENSMUSG00000091924.2	chr7	26607636	26618464	-	protein_coding	Vmn1r185
ENSMUSG00000062165.3	chr17	20913163	20919714	-	protein_coding	Vmn1r232
ENSMUSG00000028093.15	chr3	97158777	97177299	+	protein_coding	Acp6
ENSMUSG00000007097.14	chr1	172271709	172298064	-	protein_coding	Atp1a2
ENSMUSG00000115907.1	chr16	13737852	13739204	-	lincRNA	Gm49432
ENSMUSG00000074874.10	chr13	60895350	60897447	-	protein_coding	Ctla2b
ENSMUSG00000094855.1	JH584299.1	921942	924675	+	protein_coding	AC133095.1
ENSMUSG00000091087.2	chr12	115808427	115808860	-	IG_V_pseudogene	Ighv8-14
ENSMUSG00000113832.1	chr12	36264925	36291051	+	lincRNA	Gm40392
ENSMUSG00000030463.5	chr7	42445462	42448120	-	protein_coding	4933421I07Rik
ENSMUSG00000061322.15	chr4	41569775	41638158	+	protein_coding	Dnaic1
ENSMUSG00000085584.3	chrX	143099594	143104297	+	protein_coding	Rtl9
ENSMUSG00000114784.1	chr13	37581077	37589313	+	lincRNA	Gm47754
ENSMUSG00000113738.1	chr13	35052727	35083260	+	lincRNA	Gm40910
ENSMUSG00000112275.1	chr10	68313008	68326978	+	lincRNA	Gm47078
ENSMUSG00000100231.1	chrY	12273932	12306702	+	protein_coding	Gm29554
ENSMUSG00000026955.13	chr2	25372321	25378213	+	protein_coding	Sapcd2
ENSMUSG00000044581.8	chr10	82282116	82316582	-	protein_coding	4932415D10Rik
ENSMUSG00000025328.9	chr4	140785365	140810648	-	protein_coding	Padi3
ENSMUSG00000048191.15	chr7	141633456	141655319	-	protein_coding	Muc6
ENSMUSG00000020264.5	chr11	55158470	55185077	-	protein_coding	Slc36a2
ENSMUSG00000002265.17	chr7	6703892	6730431	-	protein_coding	Peg3
ENSMUSG00000089724.1	chr11	99779722	99780704	-	protein_coding	Krtap4-8
ENSMUSG00000041117.8	chr7	16992708	16997516	+	protein_coding	Ccdc8
ENSMUSG00000021494.9	chr13	55530410	55536658	-	protein_coding	Ddx41
ENSMUSG00000110324.1	chr7	142240344	142241078	-	protein_coding	Gm40460
ENSMUSG00000094063.4	chr7	103998746	104004357	+	protein_coding	Olfr638
ENSMUSG00000036958.5	chr2	148768609	148771497	-	protein_coding	Cst11
ENSMUSG00000089711.1	chr10	76293165	76294860	+	antisense	Gm16240
ENSMUSG00000014837.15	chr8	105280409	105289864	-	protein_coding	4931428F04Rik
ENSMUSG00000096770.2	chr3	113279843	113291449	-	protein_coding	Amy2a4
ENSMUSG00000054128.16	chr17	36185572	36190287	-	protein_coding	H2-T3
ENSMUSG00000098234.7	chr1	9941959	9944118	-	lincRNA	Snhg6
ENSMUSG00000003435.9	chr7	28314891	28338746	-	protein_coding	Supt5
ENSMUSG00000041343.19	chr7	92581723	92637142	-	protein_coding	Ankrd42
ENSMUSG00000042447.13	chr6	8209222	8236274	+	protein_coding	Mios
ENSMUSG00000117968.1	chr18	66761132	66802769	+	lincRNA	Gm50162
ENSMUSG00000030826.19	chr7	45570153	45589711	+	protein_coding	Bcat2
ENSMUSG00000068601.2	chr6	39419887	39421294	+	antisense	Gm10244
ENSMUSG00000086654.1	chr4	146167522	146205732	-	antisense	Gm13165
ENSMUSG00000041303.7	chr1	54396004	54438971	-	protein_coding	Gtf3c3
ENSMUSG00000115659.1	chr14	43798448	43800750	-	lincRNA	Gm41138
ENSMUSG00000020590.16	chr12	35047186	35147479	+	protein_coding	Snx13
ENSMUSG00000087681.1	chr2	62436880	62441142	-	lincRNA	Gm13565
ENSMUSG00000075512.5	chr14	77793945	77798968	-	lincRNA	Gm1587
ENSMUSG00000094652.2	chr12	114937113	114937544	-	IG_V_gene	Ighv1-42
ENSMUSG00000020922.11	chr11	102162497	102185296	-	protein_coding	Lsm12
ENSMUSG00000084849.1	chr10	81461159	81462972	+	antisense	Gm16105
ENSMUSG00000029844.9	chr6	52155590	52158317	-	protein_coding	Hoxa1
ENSMUSG00000096225.7	chr3	154306294	154330659	-	protein_coding	Lhx8
ENSMUSG00000058254.12	chrX	10485158	10596605	+	protein_coding	Tspan7
ENSMUSG00000086741.1	chr8	23138794	23149585	-	antisense	Gm15816
ENSMUSG00000085599.1	chr2	34993973	35013446	+	antisense	Gm13449
ENSMUSG00000044444.6	chr13	55414688	55415232	-	protein_coding	Pfn3
ENSMUSG00000037111.9	chr3	51515319	51560879	-	protein_coding	Setd7
ENSMUSG00000085691.1	chr2	154722352	154738451	-	lincRNA	Gm14216
ENSMUSG00000085032.1	chr4	64254053	64276603	-	lincRNA	Gm11217
ENSMUSG00000027189.16	chr2	102300119	102407828	-	protein_coding	Trim44
ENSMUSG00000020713.6	chr11	106300271	106301865	-	protein_coding	Gh
ENSMUSG00000116697.1	chr15	78174461	78174851	+	lincRNA	Gm49694
ENSMUSG00000024479.3	chr15	54571192	54602847	+	protein_coding	Mal2
ENSMUSG00000051934.5	chr15	99125916	99213215	+	protein_coding	Spats2
ENSMUSG00000096180.2	chr7	9976245	9992257	-	protein_coding	Vmn2r49
ENSMUSG00000072618.2	chr15	36870501	36879816	-	lincRNA	Gm10384
ENSMUSG00000051396.15	chr2	3504527	3512790	-	protein_coding	Gm45902
ENSMUSG00000028392.15	chr4	62480053	62497298	+	protein_coding	Bspry
ENSMUSG00000028567.8	chr4	108834601	108862127	+	protein_coding	Txndc12
ENSMUSG00000090012.1	chr17	49817626	49821825	-	antisense	Gm16555
ENSMUSG00000048833.9	chr12	80643883	80683342	+	protein_coding	Slc39a9
ENSMUSG00000001829.17	chr7	101663633	101795506	+	protein_coding	Clpb
ENSMUSG00000024371.14	chr17	34862604	34898265	-	protein_coding	C2
ENSMUSG00000118200.1	chr18	83633641	83638085	-	lincRNA	Gm31621
ENSMUSG00000056632.8	chr18	20510274	20547459	+	protein_coding	Dsg3
ENSMUSG00000117679.1	chr18	36671154	36679366	-	protein_coding	Apbb3
ENSMUSG00000009905.5	chr1	106720459	106759727	-	protein_coding	Kdsr
ENSMUSG00000025839.3	chr2	87489087	87497093	-	protein_coding	Pramel7
ENSMUSG00000102011.1	chrY	89927120	89935013	-	lincRNA	Gm28930
ENSMUSG00000110925.1	chr9	34459181	34477056	+	lincRNA	Gm47858
ENSMUSG00000032067.6	chr9	50521617	50528724	-	protein_coding	Pts
ENSMUSG00000113274.1	chr13	73958941	73963733	-	antisense	Gm41002
ENSMUSG00000034552.8	chr2	83915079	83941228	-	protein_coding	Zswim2
ENSMUSG00000076431.4	chr13	28948919	28953713	-	protein_coding	Sox4
ENSMUSG00000085395.1	chr4	141278439	141279794	+	lincRNA	Gm13056
ENSMUSG00000108725.1	chr7	74034632	74043738	-	lincRNA	Gm45004
ENSMUSG00000051721.6	chr12	4843303	4860043	+	protein_coding	Wdcp
ENSMUSG00000105689.1	chr3	99254698	99261285	-	antisense	Gm43120
ENSMUSG00000031149.7	chrX	7728439	7731064	+	protein_coding	Praf2
ENSMUSG00000112319.1	chr10	103512928	103571685	+	lincRNA	Gm47221
ENSMUSG00000091411.1	chr9	36119934	36128779	-	protein_coding	Gm5916
ENSMUSG00000107429.2	chr6	115824499	115842525	+	antisense	Gm44206
ENSMUSG00000032702.16	chr19	25236975	25434496	+	protein_coding	Kank1
ENSMUSG00000027184.14	chr2	103762941	103797649	-	protein_coding	Caprin1
ENSMUSG00000082101.3	chr11	83275110	83286726	-	protein_coding	Slfn14
ENSMUSG00000058318.15	chr2	92093117	92364666	+	protein_coding	Phf21a
ENSMUSG00000024134.11	chr17	85684277	85688274	-	protein_coding	Six2
ENSMUSG00000096879.2	chr3	93068823	93075505	+	protein_coding	Tdpoz8
ENSMUSG00000115750.1	chr15	36842816	36844338	+	lincRNA	Gm49282
ENSMUSG00000038045.14	chr17	78883938	78906992	-	protein_coding	Sult6b1
ENSMUSG00000045930.3	chr12	58264720	58269290	-	protein_coding	Clec14a
ENSMUSG00000029923.4	chr6	39381175	39390380	+	protein_coding	Rab19
ENSMUSG00000029480.13	chr5	125413858	125434121	-	protein_coding	Dhx37
ENSMUSG00000018470.8	chr11	69326258	69333042	+	protein_coding	Kcnab3
ENSMUSG00000030748.9	chr7	125552120	125579474	+	protein_coding	Il4ra
ENSMUSG00000043931.10	chr6	48718621	48724636	+	protein_coding	Gimap7
ENSMUSG00000085975.1	chr2	60037141	60038837	+	lincRNA	Gm13572
ENSMUSG00000052818.5	chr10	129855367	129858722	+	protein_coding	Olfr813
ENSMUSG00000041362.17	chr19	58973356	59076100	-	protein_coding	Shtn1
ENSMUSG00000091326.1	chr14	54161990	54162043	+	TR_J_pseudogene	Traj54
ENSMUSG00000107675.1	chr6	138443973	138461615	+	antisense	Gm30332
ENSMUSG00000021254.9	chr12	86241858	86291784	+	protein_coding	Gpatch2l
ENSMUSG00000056328.14	chr11	67200052	67224575	+	protein_coding	Myh1
ENSMUSG00000113897.1	chr12	16801768	16802634	-	lincRNA	Gm48227
ENSMUSG00000032988.4	chr15	79251014	79254761	-	protein_coding	Slc16a8
ENSMUSG00000094441.2	chr17	33239718	33255145	-	protein_coding	Zfp955a
ENSMUSG00000039652.16	chr19	37021291	37208601	-	protein_coding	Cpeb3
ENSMUSG00000047203.3	chr6	90246300	90271213	+	protein_coding	Vmn1r54
ENSMUSG00000105511.1	chr3	143603805	143624575	+	lincRNA	Gm33758
ENSMUSG00000034940.15	chr11	83964428	84044578	+	protein_coding	Synrg
ENSMUSG00000031966.7	chr9	26817953	26860890	-	protein_coding	Glb1l3
ENSMUSG00000031182.2	chrX	66303361	66304224	-	protein_coding	4930447F04Rik
ENSMUSG00000050069.3	chr1	174833785	174921819	-	protein_coding	Grem2
ENSMUSG00000024991.8	chr19	60761117	60790658	-	protein_coding	Eif3a
ENSMUSG00000032477.14	chr9	109875579	109893895	+	protein_coding	Cdc25a
ENSMUSG00000066191.12	chr4	47015669	47057427	-	protein_coding	Anks6
ENSMUSG00000102955.1	chr6	41218091	41218557	+	TR_V_pseudogene	Trbv24
ENSMUSG00000024527.10	chr18	67404764	67449172	-	protein_coding	Afg3l2
ENSMUSG00000110512.1	chr8	67176771	67177787	+	lincRNA	Gm45827
ENSMUSG00000078453.3	chr10	18011260	18023288	-	protein_coding	Abracl
ENSMUSG00000048490.14	chr16	76287400	76373827	-	protein_coding	Nrip1
ENSMUSG00000030207.15	chr6	135197977	135244955	+	protein_coding	Fam234b
ENSMUSG00000116690.1	chr16	31412467	31416491	+	lincRNA	Gm49736
ENSMUSG00000110157.1	chr8	64937959	64943988	+	lincRNA	Gm32507
ENSMUSG00000027160.16	chr2	110017817	110173360	+	protein_coding	Ccdc34
ENSMUSG00000038141.11	chr17	6256860	6308314	+	protein_coding	Tmem181a
ENSMUSG00000033760.17	chr19	4756497	4767065	+	protein_coding	Rbm4b
ENSMUSG00000097271.1	chr5	33629925	33632092	+	protein_coding	Gm9903
ENSMUSG00000021108.18	chr12	73584796	73778185	+	protein_coding	Prkch
ENSMUSG00000061859.17	chr4	98395785	98719603	+	protein_coding	Patj
ENSMUSG00000020090.7	chr10	61595492	61628565	+	protein_coding	Npffr1
ENSMUSG00000078840.1	chr8	129129097	129131661	-	protein_coding	Gm10999
ENSMUSG00000091721.4	chr3	132629820	132645351	+	protein_coding	Gimd1
ENSMUSG00000051985.12	chr1	135953578	136006342	-	protein_coding	Igfn1
ENSMUSG00000020481.15	chr11	5569684	5689337	+	protein_coding	Ankrd36
ENSMUSG00000112925.1	chr10	67005020	67041326	+	antisense	Gm31763
ENSMUSG00000066306.13	chr7	101934111	102014964	+	protein_coding	Numa1
ENSMUSG00000111633.1	chr9	79378119	79390855	-	lincRNA	Gm39377
ENSMUSG00000003444.8	chr7	28386146	28392708	-	protein_coding	Med29
ENSMUSG00000086938.9	chr19	5406740	5422847	+	antisense	4930481A15Rik
ENSMUSG00000073945.2	chr7	103590103	103600448	+	protein_coding	Olfr618
ENSMUSG00000095156.2	chr2	111326520	111332852	+	protein_coding	Olfr1281
ENSMUSG00000110866.1	chr9	25855315	25859652	-	lincRNA	Gm48362
ENSMUSG00000022781.8	chr16	32016290	32079342	-	protein_coding	Pak2
ENSMUSG00000118049.1	chr17	31512004	31514147	+	antisense	Gm50103
ENSMUSG00000085648.1	chr4	153145590	153146943	-	lincRNA	Gm13173
ENSMUSG00000028972.11	chr4	150187015	150201332	-	protein_coding	Car6
ENSMUSG00000091476.8	chr1	177983423	178172705	+	protein_coding	Catspere2
ENSMUSG00000003477.5	chr6	55170626	55175043	-	protein_coding	Inmt
ENSMUSG00000032301.13	chr9	54950790	54958030	+	protein_coding	Psma4
ENSMUSG00000066097.6	chr4	96294508	96348662	-	protein_coding	Cyp2j11
ENSMUSG00000022515.6	chr16	4941436	4964205	-	protein_coding	Anks3
ENSMUSG00000069565.12	chr10	80261486	80288408	+	protein_coding	Dazap1
ENSMUSG00000039485.8	chr10	34297442	34301320	+	protein_coding	Tspyl4
ENSMUSG00000092074.2	chr17	6306340	6317500	-	protein_coding	Dynlt1a
ENSMUSG00000040596.15	chr1	166384622	166409863	-	protein_coding	Pogk
ENSMUSG00000016494.9	chr1	194938819	194961279	+	protein_coding	Cd34
ENSMUSG00000050846.9	chr15	75940952	75949400	+	protein_coding	Zfp623
ENSMUSG00000038517.15	chr11	97136171	97151495	-	protein_coding	Tbkbp1
ENSMUSG00000059013.12	chr2	32721055	32755512	+	protein_coding	Sh2d3c
ENSMUSG00000028671.16	chr4	135963727	135968178	+	protein_coding	Gale
ENSMUSG00000087451.1	chr4	130811617	130812326	-	antisense	Gm12970
ENSMUSG00000045216.7	chr1	36068400	36106446	+	protein_coding	Hs6st1
ENSMUSG00000087277.1	chr6	145303152	145308951	+	lincRNA	2010013B24Rik
ENSMUSG00000038150.7	chr11	98581256	98587368	-	protein_coding	Ormdl3
ENSMUSG00000045975.8	chr16	97855209	97962598	-	protein_coding	C2cd2
ENSMUSG00000069830.10	chr11	71092236	71144704	-	protein_coding	Nlrp1a
ENSMUSG00000022790.14	chr16	38892671	39027159	+	protein_coding	Igsf11
ENSMUSG00000044454.5	chr9	20050955	20057562	-	protein_coding	Olfr867
ENSMUSG00000102901.1	chr12	113572927	113573402	-	IG_V_pseudogene	Ighv5-1
ENSMUSG00000070375.7	chr11	74259808	74271625	+	protein_coding	Olfr406
ENSMUSG00000045969.8	chr8	11555571	11563251	+	protein_coding	Ing1
ENSMUSG00000061974.2	chr8	47822143	47822805	+	protein_coding	Cldn24
ENSMUSG00000082229.1	chrX	103184176	103186640	-	protein_coding	Nap1l2
ENSMUSG00000027185.15	chr2	103721256	103761270	-	protein_coding	Nat10
ENSMUSG00000110248.1	chr7	114086898	114088357	+	antisense	Gm45615
ENSMUSG00000094354.1	chrY	40380441	40381523	-	protein_coding	Gm21882
ENSMUSG00000076910.1	chr14	54200386	54200446	+	TR_J_gene	Traj19
ENSMUSG00000115701.1	chr6	56997243	57009825	+	protein_coding	Vmn1r6
ENSMUSG00000043445.7	chr17	24470392	24473110	+	protein_coding	Pgp
ENSMUSG00000072235.6	chr15	98949837	98953703	-	protein_coding	Tuba1a
ENSMUSG00000038067.2	chr11	98701263	98703629	+	protein_coding	Csf3
ENSMUSG00000028124.15	chr3	122245557	122270732	+	protein_coding	Gclm
ENSMUSG00000026594.14	chr1	156804166	156939626	-	protein_coding	Ralgps2
ENSMUSG00000020623.11	chr11	110399122	110525522	+	protein_coding	Map2k6
ENSMUSG00000002014.12	chrX	73787028	73790830	+	protein_coding	Ssr4
ENSMUSG00000035142.18	chr12	52097737	52312744	+	protein_coding	Nubpl
ENSMUSG00000006764.8	chr10	115078641	115185022	-	protein_coding	Tph2
ENSMUSG00000090693.4	chr9	88580891	88588819	+	protein_coding	Trim43a
ENSMUSG00000074623.4	chr2	160311393	160334162	-	protein_coding	Gm826
ENSMUSG00000022897.15	chr16	94570010	94695517	+	protein_coding	Dyrk1a
ENSMUSG00000036873.13	chr3	145938014	145944829	+	protein_coding	2410004B18Rik
ENSMUSG00000040138.7	chrX	16885521	16911774	-	protein_coding	Ndp
ENSMUSG00000069911.11	chr11	34314758	34422640	+	protein_coding	Insyn2b
ENSMUSG00000035963.8	chr10	79639526	79645738	-	protein_coding	Odf3l2
ENSMUSG00000038546.9	chr13	43402675	43481282	-	protein_coding	Ranbp9
ENSMUSG00000057219.11	chr11	115475667	115490467	+	protein_coding	Armc7
ENSMUSG00000045348.16	chr5	137729899	137741607	-	protein_coding	Nyap1
ENSMUSG00000050050.17	chr5	92607954	92675271	-	protein_coding	Ccdc158
ENSMUSG00000024270.11	chr18	24579881	24603817	-	protein_coding	Slc39a6
ENSMUSG00000106515.4	chr3	149284418	149445301	-	lincRNA	Gm30382
ENSMUSG00000101636.1	chr10	27389866	27397225	+	antisense	4930579H20Rik
ENSMUSG00000110345.1	chr8	26966434	26967474	+	lincRNA	Gm45572
ENSMUSG00000024777.10	chr19	6227765	6235872	-	protein_coding	Ppp2r5b
ENSMUSG00000117442.1	chr17	83917937	83921606	+	lincRNA	1810073O08Rik
ENSMUSG00000113998.1	chr13	34500728	34506511	-	lincRNA	Gm40909
ENSMUSG00000107126.1	chr5	37983693	37986070	+	lincRNA	Gm40289
ENSMUSG00000060070.5	chr8	21618183	21618972	+	protein_coding	Defa26
ENSMUSG00000108714.1	chr7	80062710	80075267	-	antisense	Gm21057
ENSMUSG00000051509.6	chr1	174424064	174434747	+	protein_coding	Olfr414
ENSMUSG00000094161.1	chrY	17845724	17846266	-	protein_coding	Gm21904
ENSMUSG00000040618.7	chr14	55540266	55551242	+	protein_coding	Pck2
ENSMUSG00000058200.2	chr7	103879443	103886252	-	protein_coding	Olfr66
ENSMUSG00000019982.15	chr10	21124935	21160984	-	protein_coding	Myb
ENSMUSG00000050621.7	chr9	114982366	114982739	-	protein_coding	Rps27rt
ENSMUSG00000028461.12	chr4	43492900	43495921	+	protein_coding	Ccdc107
ENSMUSG00000104832.1	chr6	68466126	68466412	-	IG_V_pseudogene	Igkv15-102
ENSMUSG00000073234.4	chr5	5573799	5576203	+	protein_coding	Gm8773
ENSMUSG00000079171.3	chr2	111051320	111057574	-	lincRNA	Gm13942
ENSMUSG00000055065.7	chr15	79527736	79546741	-	protein_coding	Ddx17
ENSMUSG00000114662.1	chr13	40907332	40917895	-	antisense	Gm31683
ENSMUSG00000034484.8	chr18	53176316	53220865	+	protein_coding	Snx2
ENSMUSG00000113255.1	chr13	49493318	49496589	+	protein_coding	Tes3-ps
ENSMUSG00000116965.1	chr16	39187463	39188906	-	lincRNA	Gm36742
ENSMUSG00000071719.2	chrX	99821021	99848790	+	protein_coding	Tmem28
ENSMUSG00000042596.7	chr1	19103022	19166346	+	protein_coding	Tfap2d
ENSMUSG00000028085.12	chr3	85574119	85655622	+	protein_coding	Gatb
ENSMUSG00000109028.1	chr7	70548869	70554924	+	lincRNA	Gm35842
ENSMUSG00000026401.15	chr1	130388537	130423009	-	protein_coding	Cd55b
ENSMUSG00000079333.3	chr17	81441763	81441923	+	protein_coding	Gm11096
ENSMUSG00000024712.9	chr19	17394043	17401349	+	protein_coding	Rfk
ENSMUSG00000000916.15	chr5	135369953	135376805	+	protein_coding	Nsun5
ENSMUSG00000086757.1	chrX	35129015	35179028	+	lincRNA	Gm2309
ENSMUSG00000053559.13	chr15	100621339	100636940	-	protein_coding	Smagp
ENSMUSG00000053291.15	chr7	27168424	27178896	-	protein_coding	Rab4b
ENSMUSG00000047511.6	chr11	49109982	49114874	-	protein_coding	Olfr1396
ENSMUSG00000115012.1	chr15	30961300	30962878	-	antisense	9630009A06Rik
ENSMUSG00000079363.7	chr5	105115767	105139586	-	protein_coding	Gbp4
ENSMUSG00000100570.6	chrY	27811020	27814255	-	lincRNA	Gm29399
ENSMUSG00000052403.11	chr2	25607892	25631761	+	antisense	Fcnaos
ENSMUSG00000056268.15	chr1	138963435	139178960	+	protein_coding	Dennd1b
ENSMUSG00000049321.17	chr11	50898712	50916165	-	protein_coding	Zfp2
ENSMUSG00000050930.5	chr8	125669818	125673359	+	protein_coding	Map10
ENSMUSG00000109002.1	chr7	99870666	99889358	-	antisense	Gm38405
ENSMUSG00000030766.15	chr7	123279218	123369915	-	protein_coding	Arhgap17
ENSMUSG00000009555.16	chr2	32705784	32713076	-	protein_coding	Cdk9
ENSMUSG00000114226.1	chr13	66777441	66779142	+	lincRNA	Gm48412
ENSMUSG00000035274.13	chr9	85842380	85847040	+	protein_coding	Tpbg
ENSMUSG00000097399.7	chr13	58281183	58299145	+	antisense	Gm26555
ENSMUSG00000025940.6	chr1	16665207	16678275	+	protein_coding	Tmem70
ENSMUSG00000092338.1	chr17	34024966	34025070	-	lincRNA	Gm26940
ENSMUSG00000115992.1	chr16	11031956	11036420	+	lincRNA	Gm10832
ENSMUSG00000034620.17	chr10	122078114	122097371	-	protein_coding	Rxylt1
ENSMUSG00000098132.1	chr7	112953962	112957457	+	protein_coding	Rassf10
ENSMUSG00000096904.7	chr14	6405827	6412482	-	protein_coding	Lamtor3-ps
ENSMUSG00000090806.2	chr7	85548407	85569192	-	protein_coding	Vmn2r70
ENSMUSG00000095872.7	chrX	147765991	147833456	+	protein_coding	Gm15128
ENSMUSG00000027015.4	chr2	71117923	71142926	+	protein_coding	Cybrd1
ENSMUSG00000095560.2	chr14	52948568	52949169	+	TR_V_gene	Trav14d-2
ENSMUSG00000035095.11	chr14	63436394	63465498	+	protein_coding	Fam167a
ENSMUSG00000076914.1	chr14	54204422	54204481	+	TR_J_gene	Traj15
ENSMUSG00000102864.1	chr1	161040620	161041414	+	antisense	Gm37634
ENSMUSG00000063374.4	chr10	129010791	129013313	+	protein_coding	Olfr763
ENSMUSG00000026919.1	chr2	26667674	26671282	-	protein_coding	Lcn4
ENSMUSG00000020491.15	chr11	58867216	58883288	+	protein_coding	2810021J22Rik
ENSMUSG00000079471.4	chr17	45600971	45602102	-	protein_coding	Mymx
ENSMUSG00000091636.2	chr17	69439326	69489233	+	protein_coding	Akain1
ENSMUSG00000111796.1	chr9	106013530	106014653	+	antisense	Gm47575
ENSMUSG00000074918.4	chr2	118745758	118748810	+	protein_coding	Inafm2
ENSMUSG00000113559.1	chr13	65976343	65982791	-	lincRNA	Gm40987
ENSMUSG00000111013.1	chr10	93084206	93093727	+	lincRNA	Gm32468
ENSMUSG00000093695.2	chr15	64098317	64101397	+	antisense	Gm20717
ENSMUSG00000020629.12	chr12	28675231	28682175	+	protein_coding	Adi1
ENSMUSG00000057770.5	chr7	104922291	104928057	-	protein_coding	Olfr668
ENSMUSG00000025132.13	chr11	120578104	120581624	-	protein_coding	Arhgdia
ENSMUSG00000022857.13	chr16	78953008	79091097	-	protein_coding	Tmprss15
ENSMUSG00000002221.11	chr5	27740080	27791691	-	protein_coding	Paxip1
ENSMUSG00000106401.1	chr6	67754746	67754998	+	IG_V_pseudogene	Gm43284
ENSMUSG00000018566.14	chr11	69942539	69948188	-	protein_coding	Slc2a4
ENSMUSG00000055371.17	chr2	52691664	52742281	-	protein_coding	Stam2
ENSMUSG00000033365.14	chr4	117894486	117914999	-	protein_coding	Ipo13
ENSMUSG00000101190.6	chrY	54001257	54004153	+	lincRNA	Gm28274
ENSMUSG00000024949.17	chr19	6363690	6378030	+	protein_coding	Sf1
ENSMUSG00000028403.15	chr4	82798738	82859958	-	protein_coding	Zdhhc21
ENSMUSG00000022761.12	chr16	17508688	17526333	+	protein_coding	Lztr1
ENSMUSG00000037390.12	chr5	137134922	137149322	-	protein_coding	Muc3
ENSMUSG00000090964.1	chr15	83102072	83105929	-	antisense	Gm17206
ENSMUSG00000027485.15	chr2	154190818	154220369	+	protein_coding	Bpifb1
ENSMUSG00000049717.9	chr8	9969049	9977686	-	protein_coding	Lig4
ENSMUSG00000033063.8	chr13	64736182	64903955	-	protein_coding	Cntnap3
ENSMUSG00000092368.1	chr17	35994453	36038435	+	antisense	A930015D03Rik
ENSMUSG00000112685.1	chr12	50985300	51004873	-	lincRNA	Gm40421
ENSMUSG00000054526.5	chr19	13826882	13830488	-	protein_coding	Olfr1500
ENSMUSG00000030062.7	chr6	88084482	88105304	+	protein_coding	Rpn1
ENSMUSG00000085222.1	chr2	114854093	115043972	+	lincRNA	Gm13974
ENSMUSG00000031270.1	chrX	139086243	139093405	+	protein_coding	4930513O06Rik
ENSMUSG00000056215.13	chr6	34029448	34134034	+	protein_coding	Lrguk
ENSMUSG00000015176.11	chr19	46075863	46085530	+	protein_coding	Nolc1
ENSMUSG00000047454.12	chr12	78226379	78684772	+	protein_coding	Gphn
ENSMUSG00000103384.1	chr18	36967591	36968148	-	antisense	Gm37753
ENSMUSG00000101675.1	chrY	45788731	45789258	+	lincRNA	Gm28461
ENSMUSG00000025231.17	chr19	46396896	46488804	+	protein_coding	Sufu
ENSMUSG00000028955.3	chr4	151047300	151057963	-	protein_coding	Vamp3
ENSMUSG00000103807.1	chr6	41066879	41067154	+	TR_V_pseudogene	Trbv6
ENSMUSG00000039345.16	chr16	8470788	8490684	+	protein_coding	Mettl22
ENSMUSG00000100364.1	chrX	104816776	104842455	+	lincRNA	1700121L16Rik
ENSMUSG00000058126.7	chr14	113314608	113316754	+	protein_coding	Tpm3-rs7
ENSMUSG00000003420.8	chr7	45092990	45103851	-	protein_coding	Fcgrt
ENSMUSG00000031871.9	chr8	104101625	104144511	+	protein_coding	Cdh5
ENSMUSG00000096073.1	chr7	23250762	23251682	-	protein_coding	Vmn1r166
ENSMUSG00000110483.1	chr8	95629173	95630391	-	lincRNA	Gm45702
ENSMUSG00000085676.1	chr11	32789762	32790725	-	lincRNA	4930555O08Rik
ENSMUSG00000078179.1	chr6	23653898	23655136	-	protein_coding	Rnf148
